op_name,delta_shared,n_correct,delta_vec4
3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU,0.3302225830059906,27,-0.27425177877857765
3_DeepNarrowMLP,3.946239464766496,50,-4.066587710867123
40_LayerNorm,2.4583874975593347,35,5.439122436120554
40_Matmul_Scaling_ResidualAdd,0.554187919455345,46,-1.6174587071121909
41_GRUBirectional,-1.421110577469374,1,-1.421110577469374
41_Gemm_BatchNorm_GELU_GroupNorm_Mean_ReLU,0.1937257431254697,10,0.2834298202589828
41_Max_Pooling_1D,0.0,53,-1.0142841243318148
42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply,1.8074323170878028,31,0.5456621782118534
42_GRUBidirectionalHidden,1.7808439315187754,2,-1.7808439315187754
42_Max_Pooling_2D,-0.15259240881891767,190,-0.03791997401878744
43_Conv3d_Max_LogSumExp_ReLU,-0.36944726482454116,41,0.07272651350948667
43_Max_Pooling_3D,-1.0439775322681697,42,-1.0586420228788973
43_MinGPTCausalAttention,-0.5201682789541215,77,0.6836172318463991
44_Average_Pooling_1D,0.0,54,-0.08839654869266922
44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean,0.6500604300472828,50,0.05096475075734341
44_MiniGPTBlock,-0.03312139599981401,36,0.1098620440181326
45_Average_Pooling_2D,-0.610871921210804,42,-1.7564236616887967
45_Gemm_Sigmoid_Sum_LogSumExp,-0.5156162372922708,33,-3.98557415852944
45_UNetSoftmax,-0.002720369306478232,32,-0.9813725912974478
46_Average_Pooling_3D,-1.0055038123754152,57,-0.5787986627736774
46_Conv2d_Subtract_Tanh_Subtract_AvgPool,-0.03592721877150762,53,-1.1652070952921496
46_NetVladWithGhostClusters,-0.01819238012090274,34,-1.9101999126947844
47_Conv3d_Mish_Tanh,0.014465348187726379,59,0.05918475243057153
47_NetVladNoGhostClusters,0.4169727618486383,33,-0.40119229278073076
47_Sum_reduction_over_a_dimension,-0.03370094733933615,45,-1.0110284201800823
48_Conv3d_Scaling_Tanh_Multiply_Sigmoid,-0.004677140700839466,59,0.02140578576252894
48_Mean_reduction_over_a_dimension,0.6656904368340468,46,-0.38564135651075826
49_ConvTranspose3d_Softmax_Sigmoid,-0.3016752014251205,48,-1.5202264068323812
49_Mamba2ReturnFinalState,0.04548755635158397,50,0.4503268078806695
