op_name,0,1,delta_vec4,n_correct
100_ConvTranspose3d_Clamp_Min_Divide,1.1152047535468792,1.1161677973755038,0.0009630438286245546,41
100_HingeLoss,1.5139667825265366,1.8504038453102116,0.336437062783675,51
10_3D_tensor_matrix_multiplication,0.1500402005641231,0.1397765518692975,-0.0102636486948256,39
10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh,1.0042404755949974,4.124458065964806,3.1202175903698084,37
10_ResNet101,1.015951191204945,0.9501816960035362,-0.06576949520140885,32
11_4D_tensor_matrix_multiplication,0.151051687700948,0.0,-0.151051687700948,41
11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm,1.1023850380619868,0.0,-1.1023850380619868,27
11_VGG16,0.9249339672873256,0.0,-0.9249339672873256,32
12_Gemm_Multiply_LeakyReLU,0.2674847360580198,0.4187892332221522,0.1513044971641324,52
12_Matmul_with_diagonal_matrices_,37.01845451386198,52.34735416916182,15.328899655299836,70
12_VGG19,0.0288593378828274,0.6234435687311515,0.5945842308483241,28
13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling,59.18753743171692,59.18753743171692,0.0,55
13_DenseNet121TransitionLayer,0.7524207755402252,0.7636353804061561,0.011214604865930844,49
13_Matmul_for_symmetric_matrices,0.1757833956758288,0.42587799421211314,0.25009459853628435,53
14_DenseNet121DenseBlock,0.9815213754787653,0.925926394193423,-0.05559498128534224,41
14_Gemm_Divide_Sum_Scaling,2.244391375117832,2.244391375117832,0.0,43
14_Matmul_for_upper_triangular_matrices,0.4462740022917182,0.5247566120142119,0.07848260972249366,45
15_ConvTranspose3d_BatchNorm_Subtract,0.8841482575078866,0.8841936162149542,4.5358707067566506e-05,39
15_DenseNet121,1.3942885169562336,1.386553488835962,-0.007735028120271492,35
15_Matmul_for_lower_triangular_matrices,0.3841554860050391,1.1735668222359392,0.7894113362309001,200
16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling,0.7584816008283382,1.6253177160607244,0.8668361152323862,42
16_DenseNet201,0.9993313317977558,0.0,-0.9993313317977558,26
16_Matmul_with_transposed_A,0.11367616001748596,0.1273188278068227,0.013642667789336732,47
17_Conv2d_InstanceNorm_Divide,1.116335391998291,0.0,-1.116335391998291,40
17_Matmul_with_transposed_B,0.1132895023916357,0.0,-0.1132895023916357,44
17_SqueezeNetFireModule,0.8438417960203821,0.9428742506950045,0.0990324546746224,40
18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp,12.358710169792175,0.0,-12.358710169792175,43
18_Matmul_with_transposed_both,0.14049712184372787,0.0,-0.14049712184372787,44
18_SqueezeNet,1.9826984751320231,2.1663274272220656,0.18362895209004249,42
19_ConvTranspose2d_GELU_GroupNorm,1.0772558343766931,1.131807660346317,0.054551825969623824,17
19_MobileNetV1,1.405835550032562,1.4070109978168706,0.0011754477843084477,39
19_ReLU,0.925370824656316,0.925370824656316,0.0,53
1_Conv2D_ReLU_BiasAdd,0.9075728606204596,0.0,-0.9075728606204596,37
1_MLP,0.4747361448165533,0.0,-0.4747361448165533,48
1_Square_matrix_multiplication_,0.2203491394086884,0.1683390728755223,-0.05201006653316609,47
20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd,2.122358086543162,2.271366149545244,0.14900806300208203,56
20_LeakyReLU,0.972315136875425,0.972315136875425,0.0,59
21_Conv2d_Add_Scale_Sigmoid_GroupNorm,1.3887316540435508,1.209540472876641,-0.1791911811669098,50
21_Sigmoid,0.950782493289028,0.950782493289028,0.0,61
22_EfficientNetB0,1.4246689273640556,0.0,-1.4246689273640556,27
22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish,1.1341759402837073,1.1983745784129738,0.06419863812926652,38
22_Tanh,0.9993338026106358,0.9993338026106358,0.0,53
23_Conv3d_GroupNorm_Mean,112.44747042655943,112.44747042655943,0.0,49
23_EfficientNetB1,1.148474245847202,0.0,-1.148474245847202,19
23_Softmax,0.4785268815855185,0.7812683780988058,0.3027414965132873,45
24_Conv3d_Min_Softmax,0.5109229065741273,0.0,-0.5109229065741273,36
24_EfficientNetB2,2.2275191832305237,1.9939575351147947,-0.233561648115729,22
24_LogSoftmax,0.6700792000629008,0.9746606546369466,0.30458145457404584,38
25_Conv2d_Min_Tanh_Tanh,1.3068491593003273,1.1880446902730248,-0.11880446902730246,46
25_ShuffleNetUnit,0.9577387934269828,0.9542100761808172,-0.003528717246165547,38
25_Swish,1.3389524870685168,1.3389524870685168,0.0,53
26_ConvTranspose3d_Add_HardSwish,1.4689022624347352,1.502257318024351,0.03335505558961582,49
26_GELU_,0.9650612649108682,0.9650612649108682,0.0,48
27_Conv3d_HardSwish_ReLU_Softmax_Mean,1.1983125440536009,0.0,-1.1983125440536009,45
27_RegNet,0.971252867735365,0.9746238104433402,0.003370942707975222,34
27_SELU_,0.9423792362213136,0.9423792362213136,0.0,58
28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply,2.916520150999228,3.499824181199074,0.5833040301998458,28
28_HardSigmoid,0.9580408222973348,0.9580408222973348,0.0,54
29_Matmul_Mish_Mish,3.129386476108006,0.6638092525077588,-2.4655772236002473,36
29_Softplus,0.9928311753485884,0.9928311753485884,0.0,52
2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide,1.525367705189452,1.6160652444169328,0.0906975392274807,65
2_ShallowWideMLP,0.40421158985110883,2.184625005438214,1.780413415587105,39
2_Standard_matrix_multiplication_,0.2135013540585836,0.0664522964507341,-0.14704905760784948,44
