op_name,0,1,delta_shared,n_correct
100_ConvTranspose3d_Clamp_Min_Divide,1.1161677973755038,1.1152047535468792,-0.0009630438286245546,41
100_HingeLoss,1.8504038453102116,1.3878028839826584,-0.46260096132755324,51
10_3D_tensor_matrix_multiplication,0.1095628430591218,0.183210580875043,0.0736477378159212,39
10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh,1.0042404755949974,1.0444603694861612,0.04021989389116376,37
10_ResNet101,1.0112455731994094,0.9870979655320675,-0.02414760766734192,32
11_4D_tensor_matrix_multiplication,0.151051687700948,0.1508068372879231,-0.00024485041302491073,41
11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm,1.0010162989298503,1.1280883161515152,0.12707201722166483,27
11_VGG16,0.9257237591568372,0.9129892099713556,-0.01273454918548167,32
12_Gemm_Multiply_LeakyReLU,0.3513570685507887,0.4995196878191936,0.1481626192684049,52
12_Matmul_with_diagonal_matrices_,49.543031624385286,47.45700924020065,-2.0860223841846377,70
12_VGG19,0.18275387620995062,0.028589858136195648,-0.15416401807375496,28
13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling,59.18753743171692,44.39065307378769,-14.79688435792923,55
13_DenseNet121TransitionLayer,0.7524207755402252,0.7535277976322983,0.001107022092073029,49
13_Matmul_for_symmetric_matrices,0.0,0.1757946256889684,0.1757946256889684,53
14_DenseNet121DenseBlock,0.9814540234321394,0.9817235425927688,0.00026951916062945003,41
14_Gemm_Divide_Sum_Scaling,1.683293531338374,2.244391375117832,0.5610978437794583,43
14_Matmul_for_upper_triangular_matrices,0.44763003581642435,0.2756036374924829,-0.17202639832394145,45
15_ConvTranspose3d_BatchNorm_Subtract,0.9572382838820366,0.8787500561973282,-0.07848822768470842,39
15_DenseNet121,1.3969100531334686,1.390049566834524,-0.006860486298944535,35
15_Matmul_for_lower_triangular_matrices,0.3613888854349442,0.5757987938916727,0.21440990845672847,200
16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling,1.403683482052444,1.613188479373704,0.20950499732125993,42
16_DenseNet201,1.001543465641178,0.9967625360010304,-0.004780929640147535,26
16_Matmul_with_transposed_A,0.0808345596434661,0.11406377662957655,0.03322921698611045,47
17_Conv2d_InstanceNorm_Divide,0.0,1.116335391998291,1.116335391998291,40
17_Matmul_with_transposed_B,0.0854800626219806,0.1132895023916357,0.027809439769655095,44
17_SqueezeNetFireModule,0.9402402286422984,0.923726679072291,-0.01651354957000739,40
18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp,10.813871398568152,12.358710169792175,1.5448387712240237,43
18_Matmul_with_transposed_both,0.11824153653925071,0.144765337276686,0.026523800737435294,44
18_SqueezeNet,2.0685533506680382,2.164319709495261,0.09576635882722284,42
19_ConvTranspose2d_GELU_GroupNorm,0.9992419295759156,1.0844645916065359,0.08522266203062023,17
19_MobileNetV1,1.405835550032562,1.4099644214059066,0.0041288713733445,39
19_ReLU,0.925370824656316,0.925370824656316,0.0,53
1_Conv2D_ReLU_BiasAdd,1.1117767542600632,0.5851456601368754,-0.5266310941231878,37
1_MLP,0.3444164187884798,0.4747361448165533,0.1303197260280735,48
1_Square_matrix_multiplication_,0.012280533273353,0.2192592878352441,0.2069787545618911,47
20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd,2.189652367335994,2.1770752625947822,-0.012577104741211986,56
20_LeakyReLU,0.972315136875425,0.972315136875425,0.0,59
21_Conv2d_Add_Scale_Sigmoid_GroupNorm,1.190341417751615,1.5955640280500372,0.4052226102984222,50
21_Sigmoid,0.950782493289028,0.950782493289028,0.0,61
22_EfficientNetB0,1.4246689273640556,1.413920042173562,-0.010748885190493551,27
22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish,0.5081108212471008,1.1983745784129738,0.690263757165873,38
22_Tanh,0.9993338026106358,0.9993338026106358,0.0,53
23_Conv3d_GroupNorm_Mean,89.95797634124756,112.44747042655943,22.489494085311875,49
23_EfficientNetB1,1.1498932832185123,1.1475313277471633,-0.0023619554713489865,19
23_Softmax,0.0,0.689354451263652,0.689354451263652,45
24_Conv3d_Min_Softmax,0.8433399575260175,0.49428858297310063,-0.3490513745529169,36
24_EfficientNetB2,2.1806156945160278,2.2907376506864954,0.1101219561704676,22
24_LogSoftmax,0.0,0.6700792000629008,0.6700792000629008,38
25_Conv2d_Min_Tanh_Tanh,1.2749747895612948,1.4128099019463,0.13783511238500523,46
25_ShuffleNetUnit,0.958531090888395,0.9525208327877202,-0.006010258100674903,38
25_Swish,1.3389524870685168,1.3389524870685168,0.0,53
26_ConvTranspose3d_Add_HardSwish,1.492286909301326,1.4657147215113073,-0.026572187790018686,49
26_GELU_,0.9650612649108682,0.9650612649108682,0.0,48
27_Conv3d_HardSwish_ReLU_Softmax_Mean,1.206093794339663,1.1012160730927358,-0.10487772124692718,45
27_RegNet,0.971672959806185,0.9708331387519012,-0.000839821054283707,34
27_SELU_,0.9423792362213136,0.9423792362213136,0.0,58
28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply,0.0,2.916520150999228,2.916520150999228,28
28_HardSigmoid,0.9580408222973348,0.9580408222973348,0.0,54
29_Matmul_Mish_Mish,3.129386476108006,3.129386476108006,0.0,36
29_Softplus,0.9928311753485884,0.9928311753485884,0.0,52
2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide,1.5331901036776028,1.5214962135519152,-0.011693890125687556,65
2_ShallowWideMLP,0.39995442407253456,0.4059922576478097,0.006037833575275153,39
